execution_count,total_worker_time,min_worker_time,max_worker_time,total_physical_reads,min_physical_reads,max_physical_reads,total_logical_reads,min_logical_reads,max_logical_reads,total_logical_writes,min_logical_writes,max_logical_writes,total_clr_time,min_clr_time,max_clr_time,total_elapsed_time,min_elapsed_time,max_elapsed_time,db_name,timestamp,hash
166,222007,592,10375,0,0,8,9296,56,56,0,0,0,0,0,0,222071,593,12263,toystore,10/26/2020 22:55:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
196,552364,1478,175071,0,0,56,20972,107,107,0,0,0,0,0,0,557593,1478,176220,toystore,10/26/2020 22:55:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
311255,16800550,17,2675686,1,0,15,358596,1,17,7243,0,5,0,0,0,17816494,17,2677471,toystore,10/26/2020 22:55:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
158,116108,365,9760,0,0,0,1106,7,7,0,0,0,0,0,0,116169,365,9761,toystore,10/26/2020 22:55:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
96,309513,1374,185727,0,0,0,3168,33,59,0,0,0,0,0,0,313504,1374,187984,toystore,10/26/2020 22:56:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
151,228390,592,10375,0,0,8,8456,56,56,0,0,0,0,0,0,228451,593,12263,toystore,10/26/2020 22:56:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
178,626867,1478,175071,0,0,56,19046,107,107,0,0,0,0,0,0,633165,1478,176220,toystore,10/26/2020 22:56:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
260059,17453160,17,2675686,1,0,15,299604,1,17,6062,0,5,0,0,0,42174789,17,2677952,toystore,10/26/2020 22:56:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
181,154558,365,9760,0,0,0,1267,7,7,0,0,0,0,0,0,154639,365,9761,toystore,10/26/2020 22:56:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
87,258824,1374,185727,0,0,0,2871,33,59,0,0,0,0,0,0,290430,1374,187984,toystore,10/26/2020 22:57:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
161,225651,592,10375,0,0,8,9016,56,56,0,0,0,0,0,0,225710,593,12263,toystore,10/26/2020 22:57:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
177,552045,1478,175071,0,0,56,18939,107,107,0,0,0,0,0,0,553465,1478,176220,toystore,10/26/2020 22:57:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
301645,16465207,17,2675686,1,0,15,347519,1,17,7017,0,5,0,0,0,17711143,17,2677952,toystore,10/26/2020 22:57:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
198,168919,365,9760,0,0,0,1386,7,7,0,0,0,0,0,0,169017,365,9761,toystore,10/26/2020 22:57:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
103,290574,1374,185727,0,0,0,3399,33,59,0,0,0,0,0,0,301483,1374,187984,toystore,10/26/2020 22:58:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
219,283586,592,10375,0,0,8,12264,56,56,0,0,0,0,0,0,283660,593,12263,toystore,10/26/2020 22:58:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
228,676145,1478,175071,0,0,56,24396,107,107,0,0,0,0,0,0,686750,1478,176220,toystore,10/26/2020 22:58:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
304555,16616458,17,2675686,0,0,15,350868,1,17,7088,0,5,0,0,0,17730835,17,2677952,toystore,10/26/2020 22:58:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
231,188605,365,9760,0,0,0,1617,7,7,0,0,0,0,0,0,189893,365,9761,toystore,10/26/2020 22:58:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
96,304183,1374,185727,0,0,0,3168,33,59,0,0,0,0,0,0,321086,1374,187984,toystore,10/26/2020 22:59:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
186,288607,592,10375,0,0,8,10416,56,56,0,0,0,0,0,0,288685,593,12263,toystore,10/26/2020 22:59:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
179,559071,1478,175071,0,0,56,19153,107,107,0,0,0,0,0,0,567691,1478,176220,toystore,10/26/2020 22:59:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
289346,16292313,17,2675686,1,0,15,333350,1,17,6730,0,5,0,0,0,17610086,17,2677952,toystore,10/26/2020 22:59:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
191,160048,365,9760,0,0,0,1337,7,7,0,0,0,0,0,0,160130,365,9761,toystore,10/26/2020 22:59:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
107,330275,1374,185727,0,0,0,3531,33,59,0,0,0,0,0,0,352886,1374,187984,toystore,10/26/2020 23:00:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
189,273718,592,10375,0,0,8,10584,56,56,0,0,0,0,0,0,273790,593,12263,toystore,10/26/2020 23:00:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
179,572364,1478,175071,0,0,56,19153,107,107,0,0,0,0,0,0,577809,1478,176220,toystore,10/26/2020 23:00:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
301635,16768002,17,2675686,1,0,15,347512,1,17,7016,0,5,0,0,0,18041793,17,2677952,toystore,10/26/2020 23:00:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
178,147928,365,9760,0,0,0,1246,7,7,0,0,0,0,0,0,148004,365,9761,toystore,10/26/2020 23:00:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
98,298725,1374,185727,0,0,0,3247,33,59,0,0,0,0,0,0,310729,1374,187984,toystore,10/26/2020 23:01:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
175,250887,592,10375,0,0,8,9800,56,56,0,0,0,0,0,0,250972,593,12263,toystore,10/26/2020 23:01:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
183,571529,1478,175071,0,0,56,19581,107,107,0,0,0,0,0,0,595713,1478,176220,toystore,10/26/2020 23:01:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
285939,18615962,17,2746528,1,0,15,329411,1,17,6661,0,5,0,0,0,46066153,17,3045780,toystore,10/26/2020 23:01:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
192,149742,365,9760,0,0,0,1344,7,7,0,0,0,0,0,0,149840,365,9761,toystore,10/26/2020 23:01:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
84,272790,1374,185727,0,0,0,2772,33,59,0,0,0,0,0,0,276175,1374,187984,toystore,10/26/2020 23:02:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
182,277562,592,10375,0,0,8,10192,56,56,0,0,0,0,0,0,277636,593,12263,toystore,10/26/2020 23:02:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
152,499837,1478,175071,0,0,56,16264,107,107,0,0,0,0,0,0,507719,1478,176220,toystore,10/26/2020 23:02:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
272100,15731057,17,2746528,1,0,15,313476,1,17,6333,0,5,0,0,0,16559998,17,3045780,toystore,10/26/2020 23:02:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
174,156298,365,9760,0,0,0,1218,7,7,0,0,0,0,0,0,156378,365,9761,toystore,10/26/2020 23:02:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
79,259796,1374,185727,0,0,0,2607,33,59,0,0,0,0,0,0,275429,1374,187984,toystore,10/26/2020 23:03:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
192,303879,592,10375,0,0,8,10752,56,56,0,0,0,0,0,0,303963,593,12263,toystore,10/26/2020 23:03:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
210,675918,1478,175071,0,0,56,22470,107,107,0,0,0,0,0,0,683280,1478,176220,toystore,10/26/2020 23:03:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
290118,16195569,17,2746528,1,0,15,334246,1,17,6750,0,5,0,0,0,17451825,17,3045780,toystore,10/26/2020 23:03:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
212,188676,365,9760,0,0,0,1484,7,7,0,0,0,0,0,0,188771,365,9761,toystore,10/26/2020 23:03:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
118,403997,1374,185727,0,0,0,3894,33,59,0,0,0,0,0,0,581701,1374,187984,toystore,10/26/2020 23:04:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
180,283060,592,10375,0,0,8,10080,56,56,0,0,0,0,0,0,283166,593,12263,toystore,10/26/2020 23:04:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
164,563036,1478,175071,0,0,56,17548,107,107,0,0,0,0,0,0,563148,1478,176220,toystore,10/26/2020 23:04:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
288646,16091499,17,2746528,0,0,15,332544,1,17,6713,0,5,0,0,0,16887457,17,3045780,toystore,10/26/2020 23:04:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
171,157900,365,9760,0,0,0,1197,7,7,0,0,0,0,0,0,157979,365,9761,toystore,10/26/2020 23:04:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
101,314895,1374,185727,0,0,0,3333,33,59,0,0,0,0,0,0,321625,1374,187984,toystore,10/26/2020 23:05:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
180,274788,592,10375,0,0,8,10080,56,56,0,0,0,0,0,0,277939,593,12263,toystore,10/26/2020 23:05:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
186,614904,1478,175071,0,0,56,19902,107,107,0,0,0,0,0,0,642827,1478,176220,toystore,10/26/2020 23:05:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
282046,16143199,17,2746528,1,0,15,324939,1,17,6562,0,5,0,0,0,17219278,17,3045780,toystore,10/26/2020 23:05:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
168,148753,365,9760,0,0,0,1176,7,7,0,0,0,0,0,0,149195,365,9761,toystore,10/26/2020 23:05:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
115,361902,1374,185727,0,0,0,3795,33,59,0,0,0,0,0,0,367714,1374,187984,toystore,10/26/2020 23:06:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
193,279527,592,10375,0,0,8,10808,56,56,0,0,0,0,0,0,279600,593,12263,toystore,10/26/2020 23:06:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
201,635789,1478,175071,0,0,56,21507,107,107,0,0,0,0,0,0,641150,1478,176220,toystore,10/26/2020 23:06:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
306005,17045821,17,2746528,1,0,15,352541,1,17,7119,0,5,0,0,0,18189053,17,3045780,toystore,10/26/2020 23:06:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
233,200354,365,9760,0,0,0,1631,7,7,0,0,0,0,0,0,200456,365,9761,toystore,10/26/2020 23:06:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
116,361174,1374,185727,0,0,0,3828,33,59,0,0,0,0,0,0,375468,1374,187984,toystore,10/26/2020 23:07:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
191,280887,592,10375,0,0,8,10696,56,56,0,0,0,0,0,0,280962,593,12263,toystore,10/26/2020 23:07:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
224,771767,1478,175071,0,0,56,23968,107,107,0,0,0,0,0,0,794476,1478,176220,toystore,10/26/2020 23:07:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
300438,16918957,17,2746528,1,0,15,346129,1,17,6988,0,5,0,0,0,18192850,17,3045780,toystore,10/26/2020 23:07:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
196,168848,365,9760,0,0,0,1372,7,7,0,0,0,0,0,0,168938,365,9761,toystore,10/26/2020 23:07:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
Metadata
NumberOfCores=1
AmountOfRamInGb=2
ServerName=XENA\SQL2016
IsDbStorageSsd=
msdb
False
StackOverflow2010
False
tempdb
False
master
False
model
False
toystore
False
EndMapping
HaEnabled=
StackOverflow2010
0
toystore
0
EndMapping
ReplicationEnabled=
StackOverflow2010
0
toystore
0
EndMapping
DbSize=
msdb
46.750000
StackOverflow2010
10100.257812
tempdb
16.000000
master
6.437500
model
16.000000
toystore
3472.437500
EndMapping
IsBufferPoolEnabled=False
